wavelength_nm,Spectral_Irradiance_W_m2_nm
280.0,0.0
280.5,0.0
281.0,0.0
281.5,0.0
282.0,0.0
282.5,0.0
283.0,0.0
283.5,0.0
284.0,1e-16
284.5,5e-16
285.0,1.8e-15
285.5,9.8e-15
286.0,3.15e-14
286.5,1.936e-13
287.0,6.334e-13
287.5,2.5279e-12
288.0,1.44783e-11
288.5,3.99293e-11
289.0,1.31134e-10
289.5,4.84422e-10
290.0,1.40715e-09
290.5,3.229e-09
291.0,8.22591e-09
291.5,2.56544e-08
292.0,6.31803e-08
292.5,1.00688e-07
293.0,2.04311e-07
293.5,5.3746e-07
294.0,9.89737e-07
294.5,1.56539e-06
295.0,2.92383e-06
295.5,6.63112e-06
296.0,1.14351e-05
296.5,1.70595e-05
297.0,2.31852e-05
297.5,4.46442e-05
298.0,6.96647e-05
298.5,8.61534e-05
299.0,0.000118662
299.5,0.000207882
300.0,0.000246895
300.5,0.000301712
301.0,0.000468492
301.5,0.000654401
302.0,0.00071138
302.5,0.00104509
303.0,0.00173358
303.5,0.00219781
304.0,0.0023217
304.5,0.00293523
305.0,0.00404937
305.5,0.00461182
306.0,0.00458432
306.5,0.00521742
307.0,0.00689487
307.5,0.00883691
308.0,0.00939822
308.5,0.0103074
309.0,0.0101008
309.5,0.010809
310.0,0.0127347
310.5,0.0164114
311.0,0.0207974
311.5,0.0211217
312.0,0.0234946
312.5,0.0249456
313.0,0.0270922
313.5,0.0271961
314.0,0.0303086
314.5,0.033124
315.0,0.0346119
315.5,0.0301201
316.0,0.0314675
316.5,0.0383782
317.0,0.0438636
317.5,0.046716
318.0,0.0451201
318.5,0.0477519
319.0,0.0526607
319.5,0.0504733
320.0,0.0529729
320.5,0.0633892
321.0,0.0647799
321.5,0.0618187
322.0,0.0576562
322.5,0.0564609
323.0,0.0552903
323.5,0.0648591
324.0,0.0719515
324.5,0.0741142
325.0,0.0731093
325.5,0.0851445
326.0,0.100219
326.5,0.107224
327.0,0.104972
327.5,0.101591
328.0,0.0928875
328.5,0.0984546
329.0,0.112059
329.5,0.124567
330.0,0.125451
330.5,0.114076
331.0,0.107474
331.5,0.111764
332.0,0.116797
332.5,0.117767
333.0,0.115325
333.5,0.109528
334.0,0.111774
334.5,0.120067
335.0,0.125322
335.5,0.122601
336.0,0.112503
336.5,0.103702
337.0,0.101589
337.5,0.10901
338.0,0.11833
338.5,0.124281
339.0,0.126729
339.5,0.129903
340.0,0.13759
340.5,0.137493
341.0,0.129632
341.5,0.129261
342.0,0.134963
342.5,0.140223
343.0,0.142425
343.5,0.134655
344.0,0.116081
344.5,0.111982
345.0,0.1277
345.5,0.136339
346.0,0.133316
346.5,0.135965
347.0,0.138252
347.5,0.133603
348.0,0.133337
348.5,0.135848
349.0,0.131055
349.5,0.134741
350.0,0.149027
350.5,0.160385
351.0,0.156172
351.5,0.1503
352.0,0.14702
352.5,0.139186
353.0,0.148146
353.5,0.163146
354.0,0.172712
354.5,0.174837
355.0,0.175038
355.5,0.169229
356.0,0.159014
356.5,0.149333
357.0,0.131494
357.5,0.133241
358.0,0.124162
358.5,0.115431
359.0,0.135937
359.5,0.163946
360.0,0.173662
360.5,0.16435
361.0,0.151457
361.5,0.148553
362.0,0.155952
362.5,0.171047
363.0,0.176204
363.5,0.17161
364.0,0.177973
364.5,0.176541
365.0,0.183557
365.5,0.202287
366.0,0.217038
366.5,0.217707
367.0,0.21394
367.5,0.210169
368.0,0.198123
368.5,0.197058
369.0,0.206268
369.5,0.221906
370.0,0.225303
370.5,0.203957
371.0,0.207455
371.5,0.215862
372.0,0.202332
372.5,0.193018
373.0,0.186157
373.5,0.168033
374.0,0.167817
374.5,0.166794
375.0,0.178216
375.5,0.197325
376.0,0.204617
376.5,0.201579
377.0,0.216547
377.5,0.241889
378.0,0.260927
378.5,0.254627
379.0,0.227366
379.5,0.204082
380.0,0.214752
380.5,0.230371
381.0,0.234693
381.5,0.211785
382.0,0.180766
382.5,0.156584
383.0,0.140533
383.5,0.136232
384.0,0.157836
384.5,0.190262
385.0,0.209126
385.5,0.200096
386.0,0.193311
386.5,0.201261
387.0,0.203322
387.5,0.200638
388.0,0.19895
388.5,0.197809
389.0,0.215026
389.5,0.238632
390.0,0.250666
390.5,0.253104
391.0,0.268459
391.5,0.27261
392.0,0.2513
392.5,0.209725
393.0,0.15205
393.5,0.121071
394.0,0.157495
394.5,0.217564
395.0,0.257298
395.5,0.27442
396.0,0.241608
396.5,0.175921
397.0,0.13645
397.5,0.201779
398.0,0.273622
398.5,0.323588
399.0,0.344073
399.5,0.355072
400.0,0.359387
401.0,0.375226
402.0,0.39101
403.0,0.377423
404.0,0.384484
405.0,0.375964
406.0,0.367594
407.0,0.361902
408.0,0.378848
409.0,0.405669
410.0,0.346681
411.0,0.389058
412.0,0.414592
413.0,0.398712
414.0,0.39537
415.0,0.410248
416.0,0.423515
417.0,0.414041
418.0,0.396999
419.0,0.414202
420.0,0.380439
421.0,0.433121
422.0,0.428228
423.0,0.415632
424.0,0.414323
425.0,0.428016
426.0,0.416896
427.0,0.403722
428.0,0.408636
429.0,0.379284
430.0,0.303296
431.0,0.275958
432.0,0.460115
433.0,0.429089
434.0,0.39732
435.0,0.436824
436.0,0.480268
437.0,0.491378
438.0,0.432278
439.0,0.416873
440.0,0.478997
441.0,0.47347
442.0,0.507944
443.0,0.516345
444.0,0.504298
445.0,0.524633
446.0,0.471465
447.0,0.537229
448.0,0.544862
449.0,0.544775
450.0,0.565948
451.0,0.588228
452.0,0.564344
453.0,0.522302
454.0,0.561459
455.0,0.558623
456.0,0.578237
457.0,0.584297
458.0,0.573017
459.0,0.569715
460.0,0.567247
461.0,0.588407
462.0,0.595198
463.0,0.598577
464.0,0.581646
465.0,0.575625
466.0,0.589001
467.0,0.563903
468.0,0.589491
469.0,0.593134
470.0,0.571467
471.0,0.582331
472.0,0.613828
473.0,0.591212
474.0,0.599037
475.0,0.61999
476.0,0.600029
477.0,0.604867
478.0,0.62564
479.0,0.61482
480.0,0.626361
481.0,0.627511
482.0,0.631109
483.0,0.624706
484.0,0.614134
485.0,0.613408
486.0,0.498385
487.0,0.559304
488.0,0.606576
489.0,0.572564
490.0,0.64111
491.0,0.617512
492.0,0.589964
493.0,0.632273
494.0,0.618496
495.0,0.658071
496.0,0.62704
497.0,0.639046
498.0,0.622861
499.0,0.624032
500.0,0.623024
501.0,0.60516
502.0,0.605882
503.0,0.634956
504.0,0.592891
505.0,0.636748
506.0,0.663676
507.0,0.636203
508.0,0.621276
509.0,0.652382
510.0,0.636719
511.0,0.649835
512.0,0.668325
513.0,0.629087
514.0,0.617007
515.0,0.636025
516.0,0.643127
517.0,0.525089
518.0,0.601674
519.0,0.584168
520.0,0.638929
521.0,0.64478
522.0,0.660498
523.0,0.623762
524.0,0.672115
525.0,0.668147
526.0,0.650755
527.0,0.570222
528.0,0.653911
529.0,0.68561
530.0,0.660192
531.0,0.697665
532.0,0.686366
533.0,0.614068
534.0,0.658973
535.0,0.67026
536.0,0.700215
537.0,0.64912
538.0,0.682826
539.0,0.667317
540.0,0.645605
541.0,0.621757
542.0,0.677981
543.0,0.668065
544.0,0.69281
545.0,0.678393
546.0,0.673297
547.0,0.683309
548.0,0.665069
549.0,0.687135
550.0,0.68302
551.0,0.683507
552.0,0.69877
553.0,0.680101
554.0,0.694689
555.0,0.699748
556.0,0.688992
557.0,0.673251
558.0,0.68895
559.0,0.652903
560.0,0.665677
561.0,0.705548
562.0,0.672904
563.0,0.699573
564.0,0.687079
565.0,0.692626
566.0,0.656104
567.0,0.700519
568.0,0.695342
569.0,0.67945
570.0,0.681058
571.0,0.659919
572.0,0.698117
573.0,0.702295
574.0,0.699863
575.0,0.685224
576.0,0.680702
577.0,0.699054
578.0,0.678684
579.0,0.689664
580.0,0.702548
581.0,0.706993
582.0,0.719052
583.0,0.727763
584.0,0.727551
585.0,0.722947
586.0,0.70665
587.0,0.723383
588.0,0.708161
589.0,0.612465
590.0,0.652283
591.0,0.69881
